"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C5","CAP_0805","246.9mm","356.3mm","246.9mm","356.3mm","246.9mm","357.3mm","T","270.00","15pF"
"C4","CAP_0805","246.9mm","352.5mm","246.9mm","352.5mm","246.9mm","351.5mm","T","90.00","15pF"
"J4","IDC8M","238.65mm","293.9mm","238.65mm","293.9mm","247.54mm","293.9mm","T","270.00","IDC8M"
"R5","RES_0805","227.1mm","293.4mm","227.1mm","293.4mm","227.1mm","294.4mm","T","270.00","150"
"R12","RES_0805","220.3mm","287.9mm","220.3mm","287.9mm","221.3mm","287.9mm","B","180.00","18k"
"R40","RES_0805","220.3mm","296.7mm","220.3mm","296.7mm","221.3mm","296.7mm","B","180.00","18k"
"R41","RES_0805","223.9mm","285.7mm","223.9mm","285.7mm","224.9mm","285.7mm","B","180.00","18k"
"R42","RES_0805","220.3mm","294.5mm","220.3mm","294.5mm","221.3mm","294.5mm","B","180.00","18k"
"R43","RES_0805","223.9mm","283.5mm","223.9mm","283.5mm","224.9mm","283.5mm","B","180.00","18k"
"R44","RES_0805","220.3mm","292.3mm","220.3mm","292.3mm","221.3mm","292.3mm","B","180.00","18k"
"R45","RES_0805","223.9mm","281.3mm","223.9mm","281.3mm","224.9mm","281.3mm","B","180.00","18k"
"R46","RES_0805","220.3mm","290.1mm","220.3mm","290.1mm","221.3mm","290.1mm","B","180.00","18k"
"R47","RES_0805","223.9mm","279.1mm","223.9mm","279.1mm","224.9mm","279.1mm","B","180.00","18k"
"R48","RES_0805","223.9mm","276.9mm","223.9mm","276.9mm","224.9mm","276.9mm","B","180.00","18k"
"R50","RES_0805","223.9mm","274.7mm","223.9mm","274.7mm","224.9mm","274.7mm","B","180.00","18k"
"R51","RES_0805","265mm","257.475mm","265mm","257.475mm","265mm","256.475mm","B","90.00","18k"
"R53","RES_0805","262.8mm","257.475mm","262.8mm","257.475mm","262.8mm","256.475mm","B","90.00","18k"
"R54","RES_0805","256.2mm","257.475mm","256.2mm","257.475mm","256.2mm","256.475mm","B","90.00","18k"
"R55","RES_0805","260.6mm","257.475mm","260.6mm","257.475mm","260.6mm","256.475mm","B","90.00","18k"
"R56","RES_0805","258.4mm","257.475mm","258.4mm","257.475mm","258.4mm","256.475mm","B","90.00","18k"
"R57","RES_0805","256.2mm","261.075mm","256.2mm","261.075mm","256.2mm","262.075mm","B","270.00","18k"
"R58","RES_0805","258.4mm","261.075mm","258.4mm","261.075mm","258.4mm","262.075mm","B","270.00","18k"
"R59","RES_0805","254mm","257.475mm","254mm","257.475mm","254mm","256.475mm","B","90.00","18k"
"R60","RES_0805","257.45mm","289.1mm","257.45mm","289.1mm","257.45mm","288.1mm","B","90.00","18k"
"R61","RES_0805","251.8mm","261.075mm","251.8mm","261.075mm","251.8mm","262.075mm","B","270.00","18k"
"R62","RES_0805","255.25mm","289.1mm","255.25mm","289.1mm","255.25mm","288.1mm","B","90.00","18k"
"R63","RES_0805","254mm","261.075mm","254mm","261.075mm","254mm","262.075mm","B","270.00","18k"
"R64","RES_0805","253.05mm","289.1mm","253.05mm","289.1mm","253.05mm","288.1mm","B","90.00","18k"
"R65","RES_0805","260.6mm","261.075mm","260.6mm","261.075mm","260.6mm","262.075mm","B","270.00","18k"
"R66","RES_0805","262.8mm","261.075mm","262.8mm","261.075mm","262.8mm","262.075mm","B","270.00","18k"
"R67","RES_0805","265mm","261.075mm","265mm","261.075mm","265mm","262.075mm","B","270.00","18k"
"R68","RES_0805","267.9mm","268.375mm","267.9mm","268.375mm","266.9mm","268.375mm","B","360.00","18k"
"R69","RES_0805","267.9mm","270.575mm","267.9mm","270.575mm","266.9mm","270.575mm","B","360.00","18k"
"R70","RES_0805","267.9mm","272.775mm","267.9mm","272.775mm","266.9mm","272.775mm","B","360.00","18k"
"R71","RES_0805","267.9mm","274.975mm","267.9mm","274.975mm","266.9mm","274.975mm","B","360.00","18k"
"R72","RES_0805","267.9mm","263.975mm","267.9mm","263.975mm","266.9mm","263.975mm","B","360.00","18k"
"R73","RES_0805","281.65mm","308.15mm","281.65mm","308.15mm","281.65mm","307.15mm","T","90.00","1k"
"R74","RES_0805","267.9mm","266.175mm","267.9mm","266.175mm","266.9mm","266.175mm","B","360.00","18k"
"R75","RES_0805","281.6499mm","320.15mm","281.6499mm","320.15mm","281.6499mm","319.15mm","T","90.00","1k"
"R76","RES_0805","281.65mm","332.15mm","281.65mm","332.15mm","281.65mm","331.15mm","T","90.00","1k"
"R77","RES_0805","267.9mm","254.575mm","267.9mm","254.575mm","266.9mm","254.575mm","B","0.00","18k"
"R78","RES_0805","267.9mm","252.375mm","267.9mm","252.375mm","266.9mm","252.375mm","B","0.00","18k"
"R79","RES_0805","267.9mm","250.175mm","267.9mm","250.175mm","266.9mm","250.175mm","B","0.00","18k"
"R80","RES_0805","251.8mm","257.475mm","251.8mm","257.475mm","251.8mm","256.475mm","B","90.00","18k"
"LED1","LED1","281.65mm","314.67mm","281.65mm","313.4mm","281.65mm","313.4mm","B","90.00","Value"
"LED2","LED1","281.6499mm","326.6701mm","281.6499mm","325.4001mm","281.6499mm","325.4001mm","B","90.00","Value"
"LED3","LED1","281.65mm","338.6701mm","281.65mm","337.4001mm","281.65mm","337.4001mm","B","90.00","Value"
"R86","RES_0805","219.1mm","198.4mm","219.1mm","198.4mm","219.1mm","197.4mm","T","90.00","---"
"R85","RES_0805","219.1mm","205.9mm","219.1mm","205.9mm","220.1mm","205.9mm","T","180.00","100k"
"R82","RES_0805","209.9mm","205.9mm","209.9mm","205.9mm","208.9mm","205.9mm","T","360.00","100k"
"R84","RES_0805","210.3mm","203.5mm","210.3mm","203.5mm","211.3mm","203.5mm","T","180.00","10k"
"R83","RES_0805","209.3mm","200.42mm","209.3mm","200.42mm","209.3mm","201.42mm","T","270.00","10k"
"R81","RES_0805","215.1mm","205.9mm","215.1mm","205.9mm","214.1mm","205.9mm","T","360.00","100k"
"R87","RES_0805","216.7mm","198.4mm","216.7mm","198.4mm","216.7mm","197.4mm","T","90.00","10k"
"VD6","SOT-23","217.9mm","194.6mm","217.9mm","194.6mm","218.9mm","193.65mm","T","90.00","BZX84 2V7"
"VD5","DIODE_1206","214.7mm","203.3mm","214.7mm","203.3mm","216.1mm","203.3mm","T","180.00","MBR0520"
"VD4","DIODE_1206","213mm","199.4mm","213mm","199.4mm","214.4mm","199.4mm","T","180.00","MBR0520"
"VD3","SOD123_DIODE","220.45mm","209.95mm","220.45mm","209.95mm","220.45mm","211.75mm","T","270.00","MBR0520"
"VD2","SOD123_DIODE","218.2mm","209.95mm","218.2mm","209.95mm","218.2mm","211.75mm","T","270.00","MBR0520"
"VP4","P-CHANNEL","219.1mm","202.55mm","219.1mm","202.65mm","220.1mm","203.75mm","T","270.00","IRLML6402"
"VP2","P-CHANNEL","215.15mm","209.25mm","215.15mm","209.15mm","214.15mm","208.05mm","T","90.00","IRLML6402"
"VP3","N-CHANNEL","209.9mm","209.25mm","209.9mm","209.25mm","208.9mm","208.05mm","T","0.00","IRLML2060"
"D1","WO12864","238.65mm","302.35mm","238.65mm","327.4mm","272.65mm","302.35mm","B","180.00","WO12864"
"C6","CAP100RP","227.95mm","250.43mm","227.95mm","251.7mm","227.95mm","249.16mm","T","270.00","100uFx16V"
"L10","IND_1812","230.1mm","244.15mm","230.1mm","244.15mm","232.1mm","244.15mm","T","180.00","1uH"
"R36","RES_0805","221.5mm","198.4mm","221.5mm","198.4mm","221.5mm","197.4mm","T","90.00","10k"
"FM1","111","244.67mm","178.69mm","244.67mm","178.69mm","244.67mm","178.69mm","T","0.00","111"
"FM3","222","204.65mm","302.35mm","204.65mm","302.35mm","204.65mm","302.35mm","T","0.00","222"

