"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R26_Ch_I3","RES_0805","247mm","247mm","247mm","247mm","247mm","246mm","T","90.00","16.2k"
"R27_Ch_I1","RES_0805","204.5mm","247mm","204.5mm","247mm","204.5mm","246mm","T","90.00","1.5k"
"R27_Ch_I2","RES_0805","221.5mm","247mm","221.5mm","247mm","221.5mm","246mm","T","90.00","1.5k"
"R27_Ch_I3","RES_0805","238.5mm","247mm","238.5mm","247mm","238.5mm","246mm","T","90.00","2.4k"
"R28_Ch_I1","RES_0805","202mm","247mm","202mm","247mm","202mm","246mm","T","90.00","12.1k"
"R28_Ch_I2","RES_0805","219mm","247mm","219mm","247mm","219mm","246mm","T","90.00","12.1k"
"R28_Ch_I3","RES_0805","236mm","247mm","236mm","247mm","236mm","246mm","T","90.00","47k"
"S2_Ch_I1","SOT-23-5","207.5mm","246mm","207.5mm","246mm","208.45mm","247.1mm","T","180.00","TS5A3166"
"S2_Ch_I2","SOT-23-5","224.5mm","246mm","224.5mm","246mm","225.45mm","247.1mm","T","180.00","TS5A3166"
"S2_Ch_I3","SOT-23-5","241.5mm","246mm","241.5mm","246mm","242.45mm","247.1mm","T","180.00","TS5A3166"
"XP3","PLD-6","210.44mm","225.02mm","207.9mm","223.75mm","207.9mm","223.75mm","T","360.00","Header 3X2"
"C33_Ch_I1","CAP_1206","206.25mm","269.4mm","206.25mm","269.4mm","206.25mm","268mm","T","90.00","1uF"
"C29_Ch_I3","CAP_CER_7.0","240.25mm","258mm","240.25mm","258mm","236.75mm","258mm","T","360.00","0.15uF"
"C30_Ch_I3","CAP_CER_7.0","240.25mm","263.5mm","240.25mm","263.5mm","236.75mm","263.5mm","T","360.00","0.15uF"
"C31_Ch_I3","CAP_CER_14","240.25mm","252.5mm","240.25mm","252.5mm","233.25mm","252.5mm","T","360.00","1uF"
"C33_Ch_I3","CAP_1206","240.25mm","269.4mm","240.25mm","269.4mm","240.25mm","268mm","T","90.00","1uF"
"X1_Ch_I2","HOLE_1.4x2","226.75mm","268mm","226.75mm","268mm","226.75mm","268mm","T","90.00","Single_Hole"
"X1_Ch_I3","HOLE_1.4x2","243.75mm","268mm","243.75mm","268mm","243.75mm","268mm","T","90.00","Single_Hole"
"X2_Ch_I2","HOLE_1.4x2","219.75mm","268mm","219.75mm","268mm","219.75mm","268mm","T","90.00","Single_Hole"
"X2_Ch_I3","HOLE_1.4x2","236.75mm","268mm","236.75mm","268mm","236.75mm","268mm","T","90.00","Single_Hole"
"C29_Ch_I2","CAP_CER_7.0","223.25mm","258mm","223.25mm","258mm","219.75mm","258mm","T","360.00","0.15uF"
"C30_Ch_I2","CAP_CER_7.0","223.25mm","263.5mm","223.25mm","263.5mm","219.75mm","263.5mm","T","360.00","0.15uF"
"C31_Ch_I2","CAP_CER_14","223.25mm","252.5mm","223.25mm","252.5mm","216.25mm","252.5mm","T","360.00","1uF"
"C33_Ch_I2","CAP_1206","223.25mm","269.4mm","223.25mm","269.4mm","223.25mm","268mm","T","90.00","1uF"
"XP2","PLS-4","209.1701mm","210.3999mm","212.9801mm","210.3999mm","212.9801mm","210.3999mm","T","180.00","Header 4"
"C4","CAP_0805","302mm","225.25mm","302mm","225.25mm","303mm","225.25mm","T","180.00","0.1uF"
"C5","CAP_TYPE_B","301.25mm","222.25mm","301.25mm","222.25mm","299.55mm","222.25mm","T","360.00","10uF"
"C6","CAP_0805","290mm","228mm","290mm","228mm","290mm","227mm","T","90.00","220pF"
"C8","CAP_TYPE_B","291.25mm","223.25mm","291.25mm","223.25mm","291.25mm","224.95mm","T","270.00","10uF"
"C9","CAP_0805","287.75mm","231.5mm","287.75mm","231.5mm","287.75mm","230.5mm","T","90.00","0.1uF"
"C10","CAP_12.5x20","281.25mm","221.75mm","281.25mm","221.75mm","283.75mm","221.75mm","T","180.00","1000uF x 35V"
"DA1","SOT-23-5","296.25mm","222.5mm","296.25mm","222.5mm","297.2mm","223.85mm","T","180.00","TPS61040"
"L3","IND_1812","300.25mm","228.75mm","300.25mm","228.75mm","302.25mm","228.75mm","T","180.00","10uH"
"R1","RES_0805","292.25mm","228mm","292.25mm","228mm","292.25mm","227mm","T","90.00","220k"
"R2","RES_0805","287.75mm","228mm","287.75mm","228mm","287.75mm","229mm","T","270.00","470"
"R3","RES_0805","285.5mm","229.5mm","285.5mm","229.5mm","285.5mm","230.5mm","T","270.00","330"
"R4","RES_0805","292.25mm","231.5mm","292.25mm","231.5mm","292.25mm","230.5mm","T","90.00","20k"
"R5","RES_0805","290mm","231.5mm","290mm","231.5mm","290mm","232.5mm","T","270.00","20k"
"R6","RES_0805","284.75mm","232.5mm","284.75mm","232.5mm","285.75mm","232.5mm","T","180.00","20k"
"R42","RES_0805","298.5mm","214.75mm","298.5mm","214.75mm","298.5mm","213.75mm","T","90.00","0"
